regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23EE001,1,ARUN,EEE,5,EE133A,EE133B,EE133C
MUT23EE002,2,BHAVYA,EEE,5,EE134A,EE134B,EE134C
MUT23EE003,3,CHARAN,EEE,5,EE135A,EE135B,EE135C
MUT23EE004,4,DEVIKA,EEE,5,EE136A,EE136B,EE136C
MUT23EE005,5,EMIL,EEE,5,EE137A,EE137B,EE137C
MUT23EE006,6,FARHAN,EEE,5,EE138A,EE138B,EE138C
MUT23EE007,7,GOPI,EEE,5,EE139A,EE139B,EE139C
MUT23EE008,8,HARITHA,EEE,5,EE140A,EE140B,EE140C
MUT23EE009,9,IRFAN,EEE,5,EE141A,EE141B,EE141C
MUT23EE010,10,JENNY,EEE,5,EE142A,EE142B,EE142C
MUT23EE011,11,KIRAN,EEE,5,EE143A,EE143B,EE143C
MUT23EE012,12,LIYA,EEE,5,EE144A,EE144B,EE144C
MUT23EE013,13,MANOJ,EEE,5,EE145A,EE145B,EE145C
MUT23EE014,14,NEHA,EEE,5,EE146A,EE146B,EE146C
MUT23EE015,15,OMKAR,EEE,5,EE147A,EE147B,EE147C
MUT23EE016,16,POOJA,EEE,5,EE148A,EE148B,EE148C
MUT23EE017,17,QURAT,EEE,5,EE149A,EE149B,EE149C
MUT23EE018,18,RAHUL,EEE,5,EE150A,EE150B,EE150C
MUT23EE019,19,SARATH,EEE,5,EE151A,EE151B,EE151C
MUT23EE020,20,TESSA,EEE,5,EE152A,EE152B,EE152C
MUT23EE021,21,UDAY,EEE,5,EE153A,EE153B,EE153C
MUT23EE022,22,VARUN,EEE,5,EE154A,EE154B,EE154C
MUT23EE023,23,WAFI,EEE,5,EE155A,EE155B,EE155C
MUT23EE024,24,XENA,EEE,5,EE156A,EE156B,EE156C
MUT23EE025,25,YADHU,EEE,5,EE157A,EE157B,EE157C
MUT23EE026,26,ZIYA,EEE,5,EE158A,EE158B,EE158C
MUT23EE027,27,ASWIN,EEE,5,EE159A,EE159B,EE159C
MUT23EE028,28,BALU,EEE,5,EE160A,EE160B,EE160C
MUT23EE029,29,CHAYA,EEE,5,EE161A,EE161B,EE161C
MUT23EE030,30,DEEPA,EEE,5,EE162A,EE162B,EE162C
MUT23EE031,31,ELVIN,EEE,5,EE163A,EE163B,EE163C
MUT23EE032,32,FEMINA,EEE,5,EE164A,EE164B,EE164C
MUT23EE033,33,GOKUL,EEE,5,EE165A,EE165B,EE165C
MUT23EE034,34,HARI,EEE,5,EE166A,EE166B,EE166C
MUT23EE035,35,INDU,EEE,5,EE167A,EE167B,EE167C
MUT23EE036,36,JISHNU,EEE,5,EE168A,EE168B,EE168C
MUT23EE037,37,KEERTHY,EEE,5,EE169A,EE169B,EE169C
MUT23EE038,38,LAL,EEE,5,EE170A,EE170B,EE170C
MUT23EE039,39,MEERA,EEE,5,EE171A,EE171B,EE171C
MUT23EE040,40,NIKHIL,EEE,5,EE172A,EE172B,EE172C
MUT23EE041,41,OLIVE,EEE,5,EE173A,EE173B,EE173C
MUT23EE042,42,PRANAV,EEE,5,EE174A,EE174B,EE174C
MUT23EE043,43,QUEENY,EEE,5,EE175A,EE175B,EE175C
MUT23EE044,44,ROHAN,EEE,5,EE176A,EE176B,EE176C
MUT23EE045,45,SHEENA,EEE,5,EE177A,EE177B,EE177C
MUT23EE046,46,TARUN,EEE,5,EE178A,EE178B,EE178C
MUT23EE001,47,ARUN,EEE,5,EE133A,EE133B,EE133C
MUT23EE002,48,BHAVYA,EEE,5,EE134A,EE134B,EE134C
MUT23EE003,49,CHARAN,EEE,5,EE135A,EE135B,EE135C
MUT23EE004,50,DEVIKA,EEE,5,EE136A,EE136B,EE136C
MUT23EE005,51,EMIL,EEE,5,EE137A,EE137B,EE137C
MUT23EE006,52,FARHAN,EEE,5,EE138A,EE138B,EE138C
MUT23EE007,53,GOPI,EEE,5,EE139A,EE139B,EE139C
MUT23EE008,54,HARITHA,EEE,5,EE140A,EE140B,EE140C
MUT23EE009,55,IRFAN,EEE,5,EE141A,EE141B,EE141C
MUT23EE010,56,JENNY,EEE,5,EE142A,EE142B,EE142C
MUT23EE011,57,KIRAN,EEE,5,EE143A,EE143B,EE143C
MUT23EE012,58,LIYA,EEE,5,EE144A,EE144B,EE144C
MUT23EE013,59,MANOJ,EEE,5,EE145A,EE145B,EE145C
MUT23EE014,60,NEHA,EEE,5,EE146A,EE146B,EE146C
MUT23EE015,61,OMKAR,EEE,5,EE147A,EE147B,EE147C
MUT23EE016,62,POOJA,EEE,5,EE148A,EE148B,EE148C
MUT23EE017,63,QURAT,EEE,5,EE149A,EE149B,EE149C
MUT23EE018,64,RAHUL,EEE,5,EE150A,EE150B,EE150C
MUT23EE019,65,SARATH,EEE,5,EE151A,EE151B,EE151C
MUT23EE020,66,TESSA,EEE,5,EE152A,EE152B,EE152C
MUT23EE021,67,UDAY,EEE,5,EE153A,EE153B,EE153C
MUT23EE022,68,VARUN,EEE,5,EE154A,EE154B,EE154C
MUT23EE023,69,WAFI,EEE,5,EE155A,EE155B,EE155C
MUT23EE024,70,XENA,EEE,5,EE156A,EE156B,EE156C
MUT23EE025,71,YADHU,EEE,5,EE157A,EE157B,EE157C
MUT23EE026,72,ZIYA,EEE,5,EE158A,EE158B,EE158C
MUT23EE027,73,ASWIN,EEE,5,EE159A,EE159B,EE159C
MUT23EE028,74,BALU,EEE,5,EE160A,EE160B,EE160C
MUT23EE029,75,CHAYA,EEE,5,EE161A,EE161B,EE161C
