regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23CS001,1,ARUN,CSE A,5,CS111A,CS111B,CS111C
MUT23CS002,2,BHAVYA,CSE A,5,CS112A,CS112B,CS112C
MUT23CS003,3,CHARAN,CSE A,5,CS113A,CS113B,CS113C
MUT23CS004,4,DEVIKA,CSE A,5,CS114A,CS114B,CS114C
MUT23CS005,5,EMIL,CSE A,5,CS115A,CS115B,CS115C
MUT23CS006,6,FARHAN,CSE A,5,CS116A,CS116B,CS116C
MUT23CS007,7,GOPI,CSE A,5,CS117A,CS117B,CS117C
MUT23CS008,8,HARITHA,CSE A,5,CS118A,CS118B,CS118C
MUT23CS009,9,IRFAN,CSE A,5,CS119A,CS119B,CS119C
MUT23CS010,10,JENNY,CSE A,5,CS120A,CS120B,CS120C
MUT23CS011,11,KIRAN,CSE A,5,CS121A,CS121B,CS121C
MUT23CS012,12,LIYA,CSE A,5,CS122A,CS122B,CS122C
MUT23CS013,13,MANOJ,CSE A,5,CS123A,CS123B,CS123C
MUT23CS014,14,NEHA,CSE A,5,CS124A,CS124B,CS124C
MUT23CS015,15,OMKAR,CSE A,5,CS125A,CS125B,CS125C
MUT23CS016,16,POOJA,CSE A,5,CS126A,CS126B,CS126C
MUT23CS017,17,QURAT,CSE A,5,CS127A,CS127B,CS127C
MUT23CS018,18,RAHUL,CSE A,5,CS128A,CS128B,CS128C
MUT23CS019,19,SARATH,CSE A,5,CS129A,CS129B,CS129C
MUT23CS020,20,TESSA,CSE A,5,CS130A,CS130B,CS130C
MUT23CS021,21,UDAY,CSE A,5,CS131A,CS131B,CS131C
MUT23CS022,22,VARUN,CSE A,5,CS132A,CS132B,CS132C
MUT23CS023,23,WAFI,CSE A,5,CS133A,CS133B,CS133C
MUT23CS024,24,XENA,CSE A,5,CS134A,CS134B,CS134C
MUT23CS025,25,YADHU,CSE A,5,CS135A,CS135B,CS135C
MUT23CS026,26,ZIYA,CSE A,5,CS136A,CS136B,CS136C
MUT23CS027,27,ASWIN,CSE A,5,CS137A,CS137B,CS137C
MUT23CS028,28,BALU,CSE A,5,CS138A,CS138B,CS138C
MUT23CS029,29,CHAYA,CSE A,5,CS139A,CS139B,CS139C
MUT23CS030,30,DEEPA,CSE A,5,CS140A,CS140B,CS140C
MUT23CS031,31,ELVIN,CSE A,5,CS141A,CS141B,CS141C
MUT23CS032,32,FEMINA,CSE A,5,CS142A,CS142B,CS142C
MUT23CS033,33,GOKUL,CSE A,5,CS143A,CS143B,CS143C
MUT23CS034,34,HARI,CSE A,5,CS144A,CS144B,CS144C
MUT23CS035,35,INDU,CSE A,5,CS145A,CS145B,CS145C
MUT23CS036,36,JISHNU,CSE A,5,CS146A,CS146B,CS146C
MUT23CS037,37,KEERTHY,CSE A,5,CS147A,CS147B,CS147C
MUT23CS038,38,LAL,CSE A,5,CS148A,CS148B,CS148C
MUT23CS039,39,MEERA,CSE A,5,CS149A,CS149B,CS149C
MUT23CS040,40,NIKHIL,CSE A,5,CS150A,CS150B,CS150C
MUT23CS041,41,OLIVE,CSE A,5,CS151A,CS151B,CS151C
MUT23CS042,42,PRANAV,CSE A,5,CS152A,CS152B,CS152C
MUT23CS043,43,QUEENY,CSE A,5,CS153A,CS153B,CS153C
MUT23CS044,44,ROHAN,CSE A,5,CS154A,CS154B,CS154C
MUT23CS045,45,SHEENA,CSE A,5,CS155A,CS155B,CS155C
MUT23CS046,46,TARUN,CSE A,5,CS156A,CS156B,CS156C
MUT23CS047,47,UMA,CSE A,5,CS157A,CS157B,CS157C
MUT23CS048,48,VISHNU,CSE A,5,CS158A,CS158B,CS158C
MUT23CS049,49,WILMA,CSE A,5,CS159A,CS159B,CS159C
MUT23CS050,50,XAVIER,CSE A,5,CS160A,CS160B,CS160C
MUT23CS051,51,YASIR,CSE A,5,CS161A,CS161B,CS161C
MUT23CS052,52,ZARA,CSE A,5,CS162A,CS162B,CS162C
MUT23CS053,53,AARON,CSE A,5,CS163A,CS163B,CS163C
MUT23CS054,54,BINDU,CSE A,5,CS164A,CS164B,CS164C
MUT23CS055,55,CATHY,CSE A,5,CS165A,CS165B,CS165C
MUT23CS001,56,ARUN,CSE A,5,CS111A,CS111B,CS111C
MUT23CS002,57,BHAVYA,CSE A,5,CS112A,CS112B,CS112C
MUT23CS003,58,CHARAN,CSE A,5,CS113A,CS113B,CS113C
MUT23CS004,59,DEVIKA,CSE A,5,CS114A,CS114B,CS114C
MUT23CS005,60,EMIL,CSE A,5,CS115A,CS115B,CS115C
MUT23CS006,61,FARHAN,CSE A,5,CS116A,CS116B,CS116C
MUT23CS007,62,GOPI,CSE A,5,CS117A,CS117B,CS117C
MUT23CS008,63,HARITHA,CSE A,5,CS118A,CS118B,CS118C
MUT23CS009,64,IRFAN,CSE A,5,CS119A,CS119B,CS119C
MUT23CS010,65,JENNY,CSE A,5,CS120A,CS120B,CS120C
MUT23CS011,66,KIRAN,CSE A,5,CS121A,CS121B,CS121C
MUT23CS012,67,LIYA,CSE A,5,CS122A,CS122B,CS122C
MUT23CS013,68,MANOJ,CSE A,5,CS123A,CS123B,CS123C
MUT23CS014,69,NEHA,CSE A,5,CS124A,CS124B,CS124C
MUT23CS015,70,OMKAR,CSE A,5,CS125A,CS125B,CS125C
MUT23CS016,71,POOJA,CSE A,5,CS126A,CS126B,CS126C
MUT23CS017,72,QURAT,CSE A,5,CS127A,CS127B,CS127C
MUT23CS018,73,RAHUL,CSE A,5,CS128A,CS128B,CS128C
MUT23CS019,74,SARATH,CSE A,5,CS129A,CS129B,CS129C
MUT23CS020,75,TESSA,CSE A,5,CS130A,CS130B,CS130C
