regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23CE001,1,ARUN,CE,5,CE133A,CE133B,CE133C
MUT23CE002,2,BHAVYA,CE,5,CE134A,CE134B,CE134C
MUT23CE003,3,CHARAN,CE,5,CE135A,CE135B,CE135C
MUT23CE004,4,DEVIKA,CE,5,CE136A,CE136B,CE136C
MUT23CE005,5,EMIL,CE,5,CE137A,CE137B,CE137C
MUT23CE006,6,FARHAN,CE,5,CE138A,CE138B,CE138C
MUT23CE007,7,GOPI,CE,5,CE139A,CE139B,CE139C
MUT23CE008,8,HARITHA,CE,5,CE140A,CE140B,CE140C
MUT23CE009,9,IRFAN,CE,5,CE141A,CE141B,CE141C
MUT23CE010,10,JENNY,CE,5,CE142A,CE142B,CE142C
MUT23CE011,11,KIRAN,CE,5,CE143A,CE143B,CE143C
MUT23CE012,12,LIYA,CE,5,CE144A,CE144B,CE144C
MUT23CE013,13,MANOJ,CE,5,CE145A,CE145B,CE145C
MUT23CE014,14,NEHA,CE,5,CE146A,CE146B,CE146C
MUT23CE015,15,OMKAR,CE,5,CE147A,CE147B,CE147C
MUT23CE016,16,POOJA,CE,5,CE148A,CE148B,CE148C
MUT23CE017,17,QURAT,CE,5,CE149A,CE149B,CE149C
MUT23CE018,18,RAHUL,CE,5,CE150A,CE150B,CE150C
MUT23CE019,19,SARATH,CE,5,CE151A,CE151B,CE151C
MUT23CE020,20,TESSA,CE,5,CE152A,CE152B,CE152C
MUT23CE021,21,UDAY,CE,5,CE153A,CE153B,CE153C
MUT23CE022,22,VARUN,CE,5,CE154A,CE154B,CE154C
MUT23CE023,23,WAFI,CE,5,CE155A,CE155B,CE155C
MUT23CE024,24,XENA,CE,5,CE156A,CE156B,CE156C
MUT23CE025,25,YADHU,CE,5,CE157A,CE157B,CE157C
MUT23CE026,26,ZIYA,CE,5,CE158A,CE158B,CE158C
MUT23CE027,27,ASWIN,CE,5,CE159A,CE159B,CE159C
MUT23CE028,28,BALU,CE,5,CE160A,CE160B,CE160C
MUT23CE029,29,CHAYA,CE,5,CE161A,CE161B,CE161C
MUT23CE030,30,DEEPA,CE,5,CE162A,CE162B,CE162C
MUT23CE031,31,ELVIN,CE,5,CE163A,CE163B,CE163C
MUT23CE032,32,FEMINA,CE,5,CE164A,CE164B,CE164C
MUT23CE033,33,GOKUL,CE,5,CE165A,CE165B,CE165C
MUT23CE034,34,HARI,CE,5,CE166A,CE166B,CE166C
MUT23CE035,35,INDU,CE,5,CE167A,CE167B,CE167C
MUT23CE036,36,JISHNU,CE,5,CE168A,CE168B,CE168C
MUT23CE037,37,KEERTHY,CE,5,CE169A,CE169B,CE169C
MUT23CE038,38,LAL,CE,5,CE170A,CE170B,CE170C
MUT23CE039,39,MEERA,CE,5,CE171A,CE171B,CE171C
MUT23CE040,40,NIKHIL,CE,5,CE172A,CE172B,CE172C
MUT23CE041,41,OLIVE,CE,5,CE173A,CE173B,CE173C
MUT23CE042,42,PRANAV,CE,5,CE174A,CE174B,CE174C
MUT23CE043,43,QUEENY,CE,5,CE175A,CE175B,CE175C
MUT23CE044,44,ROHAN,CE,5,CE176A,CE176B,CE176C
MUT23CE045,45,SHEENA,CE,5,CE177A,CE177B,CE177C
MUT23CE046,46,TARUN,CE,5,CE178A,CE178B,CE178C
