regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23EC001,1,ARUN,ECE,5,EC133A,EC133B,EC133C
MUT23EC002,2,BHAVYA,ECE,5,EC134A,EC134B,EC134C
MUT23EC003,3,CHARAN,ECE,5,EC135A,EC135B,EC135C
MUT23EC004,4,DEVIKA,ECE,5,EC136A,EC136B,EC136C
MUT23EC005,5,EMIL,ECE,5,EC137A,EC137B,EC137C
MUT23EC006,6,FARHAN,ECE,5,EC138A,EC138B,EC138C
MUT23EC007,7,GOPI,ECE,5,EC139A,EC139B,EC139C
MUT23EC008,8,HARITHA,ECE,5,EC140A,EC140B,EC140C
MUT23EC009,9,IRFAN,ECE,5,EC141A,EC141B,EC141C
MUT23EC010,10,JENNY,ECE,5,EC142A,EC142B,EC142C
MUT23EC011,11,KIRAN,ECE,5,EC143A,EC143B,EC143C
MUT23EC012,12,LIYA,ECE,5,EC144A,EC144B,EC144C
MUT23EC013,13,MANOJ,ECE,5,EC145A,EC145B,EC145C
MUT23EC014,14,NEHA,ECE,5,EC146A,EC146B,EC146C
MUT23EC015,15,OMKAR,ECE,5,EC147A,EC147B,EC147C
MUT23EC016,16,POOJA,ECE,5,EC148A,EC148B,EC148C
MUT23EC017,17,QURAT,ECE,5,EC149A,EC149B,EC149C
MUT23EC018,18,RAHUL,ECE,5,EC150A,EC150B,EC150C
MUT23EC019,19,SARATH,ECE,5,EC151A,EC151B,EC151C
MUT23EC020,20,TESSA,ECE,5,EC152A,EC152B,EC152C
MUT23EC021,21,UDAY,ECE,5,EC153A,EC153B,EC153C
MUT23EC022,22,VARUN,ECE,5,EC154A,EC154B,EC154C
MUT23EC023,23,WAFI,ECE,5,EC155A,EC155B,EC155C
MUT23EC024,24,XENA,ECE,5,EC156A,EC156B,EC156C
MUT23EC025,25,YADHU,ECE,5,EC157A,EC157B,EC157C
MUT23EC026,26,ZIYA,ECE,5,EC158A,EC158B,EC158C
MUT23EC027,27,ASWIN,ECE,5,EC159A,EC159B,EC159C
MUT23EC028,28,BALU,ECE,5,EC160A,EC160B,EC160C
MUT23EC029,29,CHAYA,ECE,5,EC161A,EC161B,EC161C
MUT23EC030,30,DEEPA,ECE,5,EC162A,EC162B,EC162C
MUT23EC031,31,ELVIN,ECE,5,EC163A,EC163B,EC163C
MUT23EC032,32,FEMINA,ECE,5,EC164A,EC164B,EC164C
MUT23EC033,33,GOKUL,ECE,5,EC165A,EC165B,EC165C
MUT23EC034,34,HARI,ECE,5,EC166A,EC166B,EC166C
MUT23EC035,35,INDU,ECE,5,EC167A,EC167B,EC167C
MUT23EC036,36,JISHNU,ECE,5,EC168A,EC168B,EC168C
MUT23EC037,37,KEERTHY,ECE,5,EC169A,EC169B,EC169C
MUT23EC038,38,LAL,ECE,5,EC170A,EC170B,EC170C
MUT23EC039,39,MEERA,ECE,5,EC171A,EC171B,EC171C
MUT23EC040,40,NIKHIL,ECE,5,EC172A,EC172B,EC172C
MUT23EC041,41,OLIVE,ECE,5,EC173A,EC173B,EC173C
MUT23EC042,42,PRANAV,ECE,5,EC174A,EC174B,EC174C
MUT23EC043,43,QUEENY,ECE,5,EC175A,EC175B,EC175C
MUT23EC044,44,ROHAN,ECE,5,EC176A,EC176B,EC176C
MUT23EC045,45,SHEENA,ECE,5,EC177A,EC177B,EC177C
MUT23EC046,46,TARUN,ECE,5,EC178A,EC178B,EC178C
MUT23EC001,47,ARUN,ECE,5,EC133A,EC133B,EC133C
MUT23EC002,48,BHAVYA,ECE,5,EC134A,EC134B,EC134C
MUT23EC003,49,CHARAN,ECE,5,EC135A,EC135B,EC135C
MUT23EC004,50,DEVIKA,ECE,5,EC136A,EC136B,EC136C
MUT23EC005,51,EMIL,ECE,5,EC137A,EC137B,EC137C
MUT23EC006,52,FARHAN,ECE,5,EC138A,EC138B,EC138C
MUT23EC007,53,GOPI,ECE,5,EC139A,EC139B,EC139C
MUT23EC008,54,HARITHA,ECE,5,EC140A,EC140B,EC140C
MUT23EC009,55,IRFAN,ECE,5,EC141A,EC141B,EC141C
MUT23EC010,56,JENNY,ECE,5,EC142A,EC142B,EC142C
MUT23EC011,57,KIRAN,ECE,5,EC143A,EC143B,EC143C
MUT23EC012,58,LIYA,ECE,5,EC144A,EC144B,EC144C
MUT23EC013,59,MANOJ,ECE,5,EC145A,EC145B,EC145C
MUT23EC014,60,NEHA,ECE,5,EC146A,EC146B,EC146C
MUT23EC015,61,OMKAR,ECE,5,EC147A,EC147B,EC147C
MUT23EC016,62,POOJA,ECE,5,EC148A,EC148B,EC148C
MUT23EC017,63,QURAT,ECE,5,EC149A,EC149B,EC149C
MUT23EC018,64,RAHUL,ECE,5,EC150A,EC150B,EC150C
MUT23EC019,65,SARATH,ECE,5,EC151A,EC151B,EC151C
MUT23EC047,47,SARATH,ECE,5,EC151A,EC151B,EC151C
MUT23EC048,48,SARATH,ECE,5,EC151A,EC151B,EC151C
