regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23ME001,1,ARUN,ME,5,ME133A,ME133B,ME133C
MUT23ME002,2,BHAVYA,ME,5,ME134A,ME134B,ME134C
MUT23ME003,3,CHARAN,ME,5,ME135A,ME135B,ME135C
MUT23ME004,4,DEVIKA,ME,5,ME136A,ME136B,ME136C
MUT23ME005,5,EMIL,ME,5,ME137A,ME137B,ME137C
MUT23ME006,6,FARHAN,ME,5,ME138A,ME138B,ME138C
MUT23ME007,7,GOPI,ME,5,ME139A,ME139B,ME139C
MUT23ME008,8,HARITHA,ME,5,ME140A,ME140B,ME140C
MUT23ME009,9,IRFAN,ME,5,ME141A,ME141B,ME141C
MUT23ME010,10,JENNY,ME,5,ME142A,ME142B,ME142C
MUT23ME011,11,KIRAN,ME,5,ME143A,ME143B,ME143C
MUT23ME012,12,LIYA,ME,5,ME144A,ME144B,ME144C
MUT23ME013,13,MANOJ,ME,5,ME145A,ME145B,ME145C
MUT23ME014,14,NEHA,ME,5,ME146A,ME146B,ME146C
MUT23ME015,15,OMKAR,ME,5,ME147A,ME147B,ME147C
MUT23ME016,16,POOJA,ME,5,ME148A,ME148B,ME148C
MUT23ME017,17,QURAT,ME,5,ME149A,ME149B,ME149C
MUT23ME018,18,RAHUL,ME,5,ME150A,ME150B,ME150C
MUT23ME019,19,SARATH,ME,5,ME151A,ME151B,ME151C
MUT23ME020,20,TESSA,ME,5,ME152A,ME152B,ME152C
MUT23ME021,21,UDAY,ME,5,ME153A,ME153B,ME153C
MUT23ME022,22,VARUN,ME,5,ME154A,ME154B,ME154C
MUT23ME023,23,WAFI,ME,5,ME155A,ME155B,ME155C
MUT23ME024,24,XENA,ME,5,ME156A,ME156B,ME156C
MUT23ME025,25,YADHU,ME,5,ME157A,ME157B,ME157C
MUT23ME026,26,ZIYA,ME,5,ME158A,ME158B,ME158C
MUT23ME027,27,ASWIN,ME,5,ME159A,ME159B,ME159C
MUT23ME028,28,BALU,ME,5,ME160A,ME160B,ME160C
MUT23ME029,29,CHAYA,ME,5,ME161A,ME161B,ME161C
MUT23ME030,30,DEEPA,ME,5,ME162A,ME162B,ME162C
MUT23ME031,31,ELVIN,ME,5,ME163A,ME163B,ME163C
MUT23ME032,32,FEMINA,ME,5,ME164A,ME164B,ME164C
MUT23ME033,33,GOKUL,ME,5,ME165A,ME165B,ME165C
MUT23ME034,34,HARI,ME,5,ME166A,ME166B,ME166C
MUT23ME035,35,INDU,ME,5,ME167A,ME167B,ME167C
MUT23ME036,36,JISHNU,ME,5,ME168A,ME168B,ME168C
MUT23ME037,37,KEERTHY,ME,5,ME169A,ME169B,ME169C
MUT23ME038,38,LAL,ME,5,ME170A,ME170B,ME170C
MUT23ME039,39,MEERA,ME,5,ME171A,ME171B,ME171C
MUT23ME040,40,NIKHIL,ME,5,ME172A,ME172B,ME172C
MUT23ME041,41,OLIVE,ME,5,ME173A,ME173B,ME173C
MUT23ME042,42,PRANAV,ME,5,ME174A,ME174B,ME174C
MUT23ME043,43,QUEENY,ME,5,ME175A,ME175B,ME175C
MUT23ME044,44,ROHAN,ME,5,ME176A,ME176B,ME176C
MUT23ME045,45,SHEENA,ME,5,ME177A,ME177B,ME177C
MUT23ME046,46,TARUN,ME,5,ME178A,ME178B,ME178C
