regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22AD001,1,ARUN,AIDS,7,AD166A,AD166B,AD166C
MUT22AD002,2,BHAVYA,AIDS,7,AD167A,AD167B,AD167C
MUT22AD003,3,CHARAN,AIDS,7,AD168A,AD168B,AD168C
MUT22AD004,4,DEVIKA,AIDS,7,AD169A,AD169B,AD169C
MUT22AD005,5,EMIL,AIDS,7,AD170A,AD170B,AD170C
MUT22AD006,6,FARHAN,AIDS,7,AD171A,AD171B,AD171C
MUT22AD007,7,GOPI,AIDS,7,AD172A,AD172B,AD172C
MUT22AD008,8,HARITHA,AIDS,7,AD173A,AD173B,AD173C
MUT22AD009,9,IRFAN,AIDS,7,AD174A,AD174B,AD174C
MUT22AD010,10,JENNY,AIDS,7,AD175A,AD175B,AD175C
MUT22AD011,11,KIRAN,AIDS,7,AD176A,AD176B,AD176C
MUT22AD012,12,LIYA,AIDS,7,AD177A,AD177B,AD177C
MUT22AD013,13,MANOJ,AIDS,7,AD178A,AD178B,AD178C
MUT22AD014,14,NEHA,AIDS,7,AD179A,AD179B,AD179C
MUT22AD015,15,OMKAR,AIDS,7,AD180A,AD180B,AD180C
MUT22AD016,16,POOJA,AIDS,7,AD181A,AD181B,AD181C
MUT22AD017,17,QURAT,AIDS,7,AD182A,AD182B,AD182C
MUT22AD018,18,RAHUL,AIDS,7,AD183A,AD183B,AD183C
MUT22AD019,19,SARATH,AIDS,7,AD184A,AD184B,AD184C
MUT22AD020,20,TESSA,AIDS,7,AD185A,AD185B,AD185C
MUT22AD021,21,UDAY,AIDS,7,AD186A,AD186B,AD186C
MUT22AD022,22,VARUN,AIDS,7,AD187A,AD187B,AD187C
MUT22AD023,23,WAFI,AIDS,7,AD188A,AD188B,AD188C
MUT22AD024,24,XENA,AIDS,7,AD189A,AD189B,AD189C
MUT22AD025,25,YADHU,AIDS,7,AD190A,AD190B,AD190C
MUT22AD026,26,ZIYA,AIDS,7,AD191A,AD191B,AD191C
MUT22AD027,27,ASWIN,AIDS,7,AD192A,AD192B,AD192C
MUT22AD028,28,BALU,AIDS,7,AD193A,AD193B,AD193C
MUT22AD029,29,CHAYA,AIDS,7,AD194A,AD194B,AD194C
MUT22AD030,30,DEEPA,AIDS,7,AD195A,AD195B,AD195C
MUT22AD031,31,ELVIN,AIDS,7,AD196A,AD196B,AD196C
MUT22AD032,32,FEMINA,AIDS,7,AD197A,AD197B,AD197C
MUT22AD033,33,GOKUL,AIDS,7,AD198A,AD198B,AD198C
MUT22AD034,34,HARI,AIDS,7,AD199A,AD199B,AD199C
MUT22AD035,35,INDU,AIDS,7,AD200A,AD200B,AD200C
MUT22AD036,36,JISHNU,AIDS,7,AD201A,AD201B,AD201C
MUT22AD037,37,KEERTHY,AIDS,7,AD202A,AD202B,AD202C
MUT22AD038,38,LAL,AIDS,7,AD203A,AD203B,AD203C
MUT22AD039,39,MEERA,AIDS,7,AD204A,AD204B,AD204C
MUT22AD040,40,NIKHIL,AIDS,7,AD205A,AD205B,AD205C
MUT22AD041,41,OLIVE,AIDS,7,AD206A,AD206B,AD206C
MUT22AD042,42,PRANAV,AIDS,7,AD207A,AD207B,AD207C
MUT22AD043,43,QUEENY,AIDS,7,AD208A,AD208B,AD208C
MUT22AD044,44,ROHAN,AIDS,7,AD209A,AD209B,AD209C
MUT22AD045,45,SHEENA,AIDS,7,AD210A,AD210B,AD210C
MUT22AD046,46,TARUN,AIDS,7,AD211A,AD211B,AD211C
MUT22AD047,47,UMA,AIDS,7,AD212A,AD212B,AD212C
MUT22AD048,48,VISHNU,AIDS,7,AD213A,AD213B,AD213C
MUT22AD049,49,WILMA,AIDS,7,AD214A,AD214B,AD214C
MUT22AD050,50,XAVIER,AIDS,7,AD215A,AD215B,AD215C
MUT22AD051,51,YASIR,AIDS,7,AD216A,AD216B,AD216C
MUT22AD052,52,ZARA,AIDS,7,AD217A,AD217B,AD217C
MUT22AD053,53,AARON,AIDS,7,AD218A,AD218B,AD218C
MUT22AD054,54,BINDU,AIDS,7,AD219A,AD219B,AD219C
MUT22AD055,55,CATHY,AIDS,7,AD220A,AD220B,AD220C
MUT22AD001,56,ARUN,AIDS,7,AD166A,AD166B,AD166C
MUT22AD002,57,BHAVYA,AIDS,7,AD167A,AD167B,AD167C
MUT22AD003,58,CHARAN,AIDS,7,AD168A,AD168B,AD168C
MUT22AD004,59,DEVIKA,AIDS,7,AD169A,AD169B,AD169C
MUT22AD005,60,EMIL,AIDS,7,AD170A,AD170B,AD170C
MUT22AD006,61,FARHAN,AIDS,7,AD171A,AD171B,AD171C
MUT22AD007,62,GOPI,AIDS,7,AD172A,AD172B,AD172C
MUT22AD008,63,HARITHA,AIDS,7,AD173A,AD173B,AD173C
MUT22AD009,64,IRFAN,AIDS,7,AD174A,AD174B,AD174C
MUT22AD010,65,JENNY,AIDS,7,AD175A,AD175B,AD175C
MUT22AD011,66,KIRAN,AIDS,7,AD176A,AD176B,AD176C
MUT22AD012,67,LIYA,AIDS,7,AD177A,AD177B,AD177C
MUT22AD013,68,MANOJ,AIDS,7,AD178A,AD178B,AD178C
MUT22AD014,69,NEHA,AIDS,7,AD179A,AD179B,AD179C
MUT22AD015,70,OMKAR,AIDS,7,AD180A,AD180B,AD180C
MUT22AD016,71,POOJA,AIDS,7,AD181A,AD181B,AD181C
MUT22AD017,72,QURAT,AIDS,7,AD182A,AD182B,AD182C
MUT22AD018,73,RAHUL,AIDS,7,AD183A,AD183B,AD183C
MUT22AD019,74,SARATH,AIDS,7,AD184A,AD184B,AD184C
MUT22AD020,75,TESSA,AIDS,7,AD185A,AD185B,AD185C
