regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22AI001,1,ARUN,CSE AI,7,AI166A,AI166B,AI166C
MUT22AI002,2,BHAVYA,CSE AI,7,AI167A,AI167B,AI167C
MUT22AI003,3,CHARAN,CSE AI,7,AI168A,AI168B,AI168C
MUT22AI004,4,DEVIKA,CSE AI,7,AI169A,AI169B,AI169C
MUT22AI005,5,EMIL,CSE AI,7,AI170A,AI170B,AI170C
MUT22AI006,6,FARHAN,CSE AI,7,AI171A,AI171B,AI171C
MUT22AI007,7,GOPI,CSE AI,7,AI172A,AI172B,AI172C
MUT22AI008,8,HARITHA,CSE AI,7,AI173A,AI173B,AI173C
MUT22AI009,9,IRFAN,CSE AI,7,AI174A,AI174B,AI174C
MUT22AI010,10,JENNY,CSE AI,7,AI175A,AI175B,AI175C
MUT22AI011,11,KIRAN,CSE AI,7,AI176A,AI176B,AI176C
MUT22AI012,12,LIYA,CSE AI,7,AI177A,AI177B,AI177C
MUT22AI013,13,MANOJ,CSE AI,7,AI178A,AI178B,AI178C
MUT22AI014,14,NEHA,CSE AI,7,AI179A,AI179B,AI179C
MUT22AI015,15,OMKAR,CSE AI,7,AI180A,AI180B,AI180C
MUT22AI016,16,POOJA,CSE AI,7,AI181A,AI181B,AI181C
MUT22AI017,17,QURAT,CSE AI,7,AI182A,AI182B,AI182C
MUT22AI018,18,RAHUL,CSE AI,7,AI183A,AI183B,AI183C
MUT22AI019,19,SARATH,CSE AI,7,AI184A,AI184B,AI184C
MUT22AI020,20,TESSA,CSE AI,7,AI185A,AI185B,AI185C
MUT22AI021,21,UDAY,CSE AI,7,AI186A,AI186B,AI186C
MUT22AI022,22,VARUN,CSE AI,7,AI187A,AI187B,AI187C
MUT22AI023,23,WAFI,CSE AI,7,AI188A,AI188B,AI188C
MUT22AI024,24,XENA,CSE AI,7,AI189A,AI189B,AI189C
MUT22AI025,25,YADHU,CSE AI,7,AI190A,AI190B,AI190C
MUT22AI026,26,ZIYA,CSE AI,7,AI191A,AI191B,AI191C
MUT22AI027,27,ASWIN,CSE AI,7,AI192A,AI192B,AI192C
MUT22AI028,28,BALU,CSE AI,7,AI193A,AI193B,AI193C
MUT22AI029,29,CHAYA,CSE AI,7,AI194A,AI194B,AI194C
MUT22AI030,30,DEEPA,CSE AI,7,AI195A,AI195B,AI195C
MUT22AI031,31,ELVIN,CSE AI,7,AI196A,AI196B,AI196C
MUT22AI032,32,FEMINA,CSE AI,7,AI197A,AI197B,AI197C
MUT22AI033,33,GOKUL,CSE AI,7,AI198A,AI198B,AI198C
MUT22AI034,34,HARI,CSE AI,7,AI199A,AI199B,AI199C
MUT22AI035,35,INDU,CSE AI,7,AI200A,AI200B,AI200C
MUT22AI036,36,JISHNU,CSE AI,7,AI201A,AI201B,AI201C
MUT22AI037,37,KEERTHY,CSE AI,7,AI202A,AI202B,AI202C
MUT22AI038,38,LAL,CSE AI,7,AI203A,AI203B,AI203C
MUT22AI039,39,MEERA,CSE AI,7,AI204A,AI204B,AI204C
MUT22AI040,40,NIKHIL,CSE AI,7,AI205A,AI205B,AI205C
MUT22AI041,41,OLIVE,CSE AI,7,AI206A,AI206B,AI206C
MUT22AI042,42,PRANAV,CSE AI,7,AI207A,AI207B,AI207C
MUT22AI043,43,QUEENY,CSE AI,7,AI208A,AI208B,AI208C
MUT22AI044,44,ROHAN,CSE AI,7,AI209A,AI209B,AI209C
