regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22CS001,1,ARUN,CSE A,7,CS111A,CS111B,CS111C
MUT22CS002,2,BHAVYA,CSE A,7,CS112A,CS112B,CS112C
MUT22CS003,3,CHARAN,CSE A,7,CS113A,CS113B,CS113C
MUT22CS004,4,DEVIKA,CSE A,7,CS114A,CS114B,CS114C
MUT22CS005,5,EMIL,CSE A,7,CS115A,CS115B,CS115C
MUT22CS006,6,FARHAN,CSE A,7,CS116A,CS116B,CS116C
MUT22CS007,7,GOPI,CSE A,7,CS117A,CS117B,CS117C
MUT22CS008,8,HARITHA,CSE A,7,CS118A,CS118B,CS118C
MUT22CS009,9,IRFAN,CSE A,7,CS119A,CS119B,CS119C
MUT22CS010,10,JENNY,CSE A,7,CS120A,CS120B,CS120C
MUT22CS011,11,KIRAN,CSE A,7,CS121A,CS121B,CS121C
MUT22CS012,12,LIYA,CSE A,7,CS122A,CS122B,CS122C
MUT22CS013,13,MANOJ,CSE A,7,CS123A,CS123B,CS123C
MUT22CS014,14,NEHA,CSE A,7,CS124A,CS124B,CS124C
MUT22CS015,15,OMKAR,CSE A,7,CS125A,CS125B,CS125C
MUT22CS016,16,POOJA,CSE A,7,CS126A,CS126B,CS126C
MUT22CS017,17,QURAT,CSE A,7,CS127A,CS127B,CS127C
MUT22CS018,18,RAHUL,CSE A,7,CS128A,CS128B,CS128C
MUT22CS019,19,SARATH,CSE A,7,CS129A,CS129B,CS129C
MUT22CS020,20,TESSA,CSE A,7,CS130A,CS130B,CS130C
MUT22CS021,21,UDAY,CSE A,7,CS131A,CS131B,CS131C
MUT22CS022,22,VARUN,CSE A,7,CS132A,CS132B,CS132C
MUT22CS023,23,WAFI,CSE A,7,CS133A,CS133B,CS133C
MUT22CS024,24,XENA,CSE A,7,CS134A,CS134B,CS134C
MUT22CS025,25,YADHU,CSE A,7,CS135A,CS135B,CS135C
MUT22CS026,26,ZIYA,CSE A,7,CS136A,CS136B,CS136C
MUT22CS027,27,ASWIN,CSE A,7,CS137A,CS137B,CS137C
MUT22CS028,28,BALU,CSE A,7,CS138A,CS138B,CS138C
MUT22CS029,29,CHAYA,CSE A,7,CS139A,CS139B,CS139C
MUT22CS030,30,DEEPA,CSE A,7,CS140A,CS140B,CS140C
MUT22CS031,31,ELVIN,CSE A,7,CS141A,CS141B,CS141C
MUT22CS032,32,FEMINA,CSE A,7,CS142A,CS142B,CS142C
MUT22CS033,33,GOKUL,CSE A,7,CS143A,CS143B,CS143C
MUT22CS034,34,HARI,CSE A,7,CS144A,CS144B,CS144C
MUT22CS035,35,INDU,CSE A,7,CS145A,CS145B,CS145C
MUT22CS036,36,JISHNU,CSE A,7,CS146A,CS146B,CS146C
MUT22CS037,37,KEERTHY,CSE A,7,CS147A,CS147B,CS147C
MUT22CS038,38,LAL,CSE A,7,CS148A,CS148B,CS148C
MUT22CS039,39,MEERA,CSE A,7,CS149A,CS149B,CS149C
MUT22CS040,40,NIKHIL,CSE A,7,CS150A,CS150B,CS150C
MUT22CS041,41,OLIVE,CSE A,7,CS151A,CS151B,CS151C
MUT22CS042,42,PRANAV,CSE A,7,CS152A,CS152B,CS152C
MUT22CS043,43,QUEENY,CSE A,7,CS153A,CS153B,CS153C
MUT22CS044,44,ROHAN,CSE A,7,CS154A,CS154B,CS154C
MUT22CS045,45,SHEENA,CSE A,7,CS155A,CS155B,CS155C
MUT22CS046,46,TARUN,CSE A,7,CS156A,CS156B,CS156C
MUT22CS047,47,UMA,CSE A,7,CS157A,CS157B,CS157C
MUT22CS048,48,VISHNU,CSE A,7,CS158A,CS158B,CS158C
MUT22CS049,49,WILMA,CSE A,7,CS159A,CS159B,CS159C
MUT22CS050,50,XAVIER,CSE A,7,CS160A,CS160B,CS160C
MUT22CS051,51,YASIR,CSE A,7,CS161A,CS161B,CS161C
MUT22CS052,52,ZARA,CSE A,7,CS162A,CS162B,CS162C
MUT22CS053,53,AARON,CSE A,7,CS163A,CS163B,CS163C
MUT22CS054,54,BINDU,CSE A,7,CS164A,CS164B,CS164C
MUT22CS055,55,CATHY,CSE A,7,CS165A,CS165B,CS165C
MUT22CS001,56,ARUN,CSE A,7,CS111A,CS111B,CS111C
MUT22CS002,57,BHAVYA,CSE A,7,CS112A,CS112B,CS112C
MUT22CS003,58,CHARAN,CSE A,7,CS113A,CS113B,CS113C
MUT22CS004,59,DEVIKA,CSE A,7,CS114A,CS114B,CS114C
MUT22CS005,60,EMIL,CSE A,7,CS115A,CS115B,CS115C
