regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22CB001,1,ARUN,CSE B,7,CB166A,CB166B,CB166C
MUT22CB002,2,BHAVYA,CSE B,7,CB167A,CB167B,CB167C
MUT22CB003,3,CHARAN,CSE B,7,CB168A,CB168B,CB168C
MUT22CB004,4,DEVIKA,CSE B,7,CB169A,CB169B,CB169C
MUT22CB005,5,EMIL,CSE B,7,CB170A,CB170B,CB170C
MUT22CB006,6,FARHAN,CSE B,7,CB171A,CB171B,CB171C
MUT22CB007,7,GOPI,CSE B,7,CB172A,CB172B,CB172C
MUT22CB008,8,HARITHA,CSE B,7,CB173A,CB173B,CB173C
MUT22CB009,9,IRFAN,CSE B,7,CB174A,CB174B,CB174C
MUT22CB010,10,JENNY,CSE B,7,CB175A,CB175B,CB175C
MUT22CB011,11,KIRAN,CSE B,7,CB176A,CB176B,CB176C
MUT22CB012,12,LIYA,CSE B,7,CB177A,CB177B,CB177C
MUT22CB013,13,MANOJ,CSE B,7,CB178A,CB178B,CB178C
MUT22CB014,14,NEHA,CSE B,7,CB179A,CB179B,CB179C
MUT22CB015,15,OMKAR,CSE B,7,CB180A,CB180B,CB180C
MUT22CB016,16,POOJA,CSE B,7,CB181A,CB181B,CB181C
MUT22CB017,17,QURAT,CSE B,7,CB182A,CB182B,CB182C
MUT22CB018,18,RAHUL,CSE B,7,CB183A,CB183B,CB183C
MUT22CB019,19,SARATH,CSE B,7,CB184A,CB184B,CB184C
MUT22CB020,20,TESSA,CSE B,7,CB185A,CB185B,CB185C
MUT22CB021,21,UDAY,CSE B,7,CB186A,CB186B,CB186C
MUT22CB022,22,VARUN,CSE B,7,CB187A,CB187B,CB187C
MUT22CB023,23,WAFI,CSE B,7,CB188A,CB188B,CB188C
MUT22CB024,24,XENA,CSE B,7,CB189A,CB189B,CB189C
MUT22CB025,25,YADHU,CSE B,7,CB190A,CB190B,CB190C
MUT22CB026,26,ZIYA,CSE B,7,CB191A,CB191B,CB191C
MUT22CB027,27,ASWIN,CSE B,7,CB192A,CB192B,CB192C
MUT22CB028,28,BALU,CSE B,7,CB193A,CB193B,CB193C
MUT22CB029,29,CHAYA,CSE B,7,CB194A,CB194B,CB194C
